All.obs;uniqueID;Record;Country;Type;RBD;ICcode;physChemText;Note1_PhysChemText;SumMetric;ValueStd;ValueUpStd;CorSumMetric;Note2_Season;CorValueStd;CorValueUpStd;UnitUsed;Note3_stdUnits;RangeRep;ReasonRange;SalinityRange;DepthZone;Comment;Delete;physChemCategoryCW;physChemCategoryTW;Ver;cfMS
8763;10690;1;BE;Type 2;BENOORDZEE_FED;CW-NEA1/26;Dissolved oxygen;;Minimum;6;;Minimum;;6;;mg/L;;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8765;10692;2;BE;Type 2;BENOORDZEE_FED;CW-NEA1/26;Orthophosphate;;MAC-EQS;24,78;;MAC-EQS;;24,78;;ugP/L;We standardised your Value using a factor of 30.97521132 to convert from units of   umol/L (assumed it was reported as PO4-P);FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8764;10691;3;BE;Type 2;BENOORDZEE_FED;CW-NEA1/26;Total Inorganic N;;MAC-EQS;0,21;;MAC-EQS;;0,21;;mgN/L;We standardised your Value using a factor of 0.014007 to convert from units of   umol/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7925;9821;1;BG;BG2000;CW1N;CW-BL1;Dissolved oxygen;;winter;12,6;;winter;;12,6;;mg/L;;FALSE;;;;;TRUE;yes;no;Ver7e_revised;
7934;9830;2;BG;BG2000;CW1N;CW-BL1;Dissolved oxygen;;spring;10,8;;spring;;10,8;;mg/L;;FALSE;;;;;TRUE;yes;no;Ver7e_revised;
7943;9839;3;BG;BG2000;CW1N;CW-BL1;Dissolved oxygen;;summer;8,9;;summer;;8,9;;mg/L;;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7952;9848;4;BG;BG2000;CW1N;CW-BL1;Dissolved oxygen;;autumn;10,3;;autumn;;10,3;;mg/L;;FALSE;;;;;TRUE;yes;no;Ver7e_revised;
7927;9823;5;BG;BG2000;CW2N;CW-BL1;Dissolved oxygen;;winter;12,6;;winter;;12,6;;mg/L;;FALSE;;;;;TRUE;yes;no;Ver7e_revised;
7936;9832;6;BG;BG2000;CW2N;CW-BL1;Dissolved oxygen;;spring;10,8;;spring;;10,8;;mg/L;;FALSE;;;;;TRUE;yes;no;Ver7e_revised;
7945;9841;7;BG;BG2000;CW2N;CW-BL1;Dissolved oxygen;;summer;8,9;;summer;;8,9;;mg/L;;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7954;9850;8;BG;BG2000;CW2N;CW-BL1;Dissolved oxygen;;autumn;10,3;;autumn;;10,3;;mg/L;;FALSE;;;;;TRUE;yes;no;Ver7e_revised;
7924;9820;9;BG;BG2000;CW3;CW-BL1;Dissolved oxygen;;winter;12,6;;winter;;12,6;;mg/L;;FALSE;;;;;TRUE;yes;no;Ver7e_revised;
7933;9829;10;BG;BG2000;CW3;CW-BL1;Dissolved oxygen;;spring;10,8;;spring;;10,8;;mg/L;;FALSE;;;;;TRUE;yes;no;Ver7e_revised;
7942;9838;11;BG;BG2000;CW3;CW-BL1;Dissolved oxygen;;summer;8,9;;summer;;8,9;;mg/L;;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7951;9847;12;BG;BG2000;CW3;CW-BL1;Dissolved oxygen;;autumn;10,3;;autumn;;10,3;;mg/L;;FALSE;;;;;TRUE;yes;no;Ver7e_revised;
7929;9825;13;BG;BG2000;CW4N;CW-BL1;Dissolved oxygen;;winter;12,6;;winter;;12,6;;mg/L;;FALSE;;;;;TRUE;yes;no;Ver7e_revised;
7938;9834;14;BG;BG2000;CW4N;CW-BL1;Dissolved oxygen;;spring;10,8;;spring;;10,8;;mg/L;;FALSE;;;;;TRUE;yes;no;Ver7e_revised;
7947;9843;15;BG;BG2000;CW4N;CW-BL1;Dissolved oxygen;;summer;8,9;;summer;;8,9;;mg/L;;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
7956;9852;16;BG;BG2000;CW4N;CW-BL1;Dissolved oxygen;;autumn;10,3;;autumn;;10,3;;mg/L;;FALSE;;;;;TRUE;yes;no;Ver7e_revised;
