All.obs;GIG;Cat;ICcode.TRAC;Country;NatType;physChemText;SumMetric;ValueStd;ValueUpStd;UnitUsed;RangeRep;ReasonRange;DepthZone;Ver.r;MetricType
11740;BAL;CW;CW-BC1;SE;23;TP;winter;9.60186591;16.41609333;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11685;BAL;CW;CW-BC1;SE;18;TN;summer;0.29834271;0.30254472;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11739;BAL;CW;CW-BC1;SE;22;TP;winter;9.60186591;16.41609333;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11708;BAL;CW;CW-BC1;SE;16;Total Inorganic N;winter;0.0420201;0.17508375;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11709;BAL;CW;CW-BC1;SE;17;Total Inorganic N;winter;0.0420201;0.17508375;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11662;BAL;CW;CW-BC1;SE;20;TN;winter;0.30394539;0.31795209;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11663;BAL;CW;CW-BC1;SE;21;TN;winter;0.30394539;0.31795209;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11765;BAL;CW;CW-BC1;SE;23;TP;summer;6.81422742;16.72583094;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11686;BAL;CW;CW-BC1;SE;19;TN;summer;0.29834271;0.30254472;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11710;BAL;CW;CW-BC1;SE;18;Total Inorganic N;winter;0.0420201;0.1260603;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11764;BAL;CW;CW-BC1;SE;22;TP;summer;6.81422742;16.72583094;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11689;BAL;CW;CW-BC1;SE;22;TN;summer;0.31375008;0.31655142;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11664;BAL;CW;CW-BC1;SE;22;TN;winter;0.29694204;0.32635611;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11687;BAL;CW;CW-BC1;SE;20;TN;summer;0.27313065;0.28853802;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11688;BAL;CW;CW-BC1;SE;21;TN;summer;0.27313065;0.28853802;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11733;BAL;CW;CW-BC1;SE;16;TP;winter;17.34530616;19.51346943;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11734;BAL;CW;CW-BC1;SE;17;TP;winter;17.34530616;19.51346943;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11735;BAL;CW;CW-BC1;SE;18;TP;winter;11.77002918;17.34530616;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11736;BAL;CW;CW-BC1;SE;19;TP;winter;11.77002918;17.34530616;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11737;BAL;CW;CW-BC1;SE;20;TP;winter;14.86740528;16.10635572;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11738;BAL;CW;CW-BC1;SE;21;TP;winter;14.86740528;16.10635572;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11658;BAL;CW;CW-BC1;SE;16;TN;winter;0.29694204;0.48323115;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11659;BAL;CW;CW-BC1;SE;17;TN;winter;0.29694204;0.48323115;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11660;BAL;CW;CW-BC1;SE;18;TN;winter;0.29974338;0.30254472;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11661;BAL;CW;CW-BC1;SE;19;TN;winter;0.29974338;0.30254472;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11690;BAL;CW;CW-BC1;SE;23;TN;summer;0.31375008;0.31655142;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11665;BAL;CW;CW-BC1;SE;23;TN;winter;0.29694204;0.32635611;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11785;BAL;CW;CW-BC1;SE;18;Orthophosphate;winter;3.717025356;9.29256339;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11786;BAL;CW;CW-BC1;SE;19;Orthophosphate;winter;3.717025356;9.29256339;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11787;BAL;CW;CW-BC1;SE;20;Orthophosphate;winter;4.956033808;6.814546486;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11788;BAL;CW;CW-BC1;SE;21;Orthophosphate;winter;4.956033808;6.814546486;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11789;BAL;CW;CW-BC1;SE;22;Orthophosphate;winter;4.646281695;NA;µgP/L;FALSE;salinity range;NA;Rver2;seasonal
11790;BAL;CW;CW-BC1;SE;23;Orthophosphate;winter;4.646281695;NA;µgP/L;FALSE;salinity range;NA;Rver2;seasonal
11711;BAL;CW;CW-BC1;SE;19;Total Inorganic N;winter;0.0420201;0.1260603;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11712;BAL;CW;CW-BC1;SE;20;Total Inorganic N;winter;0.0560268;0.12325896;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11713;BAL;CW;CW-BC1;SE;21;Total Inorganic N;winter;0.0560268;0.12325896;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11714;BAL;CW;CW-BC1;SE;22;Total Inorganic N;winter;0.07283484;0.13166298;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11715;BAL;CW;CW-BC1;SE;23;Total Inorganic N;winter;0.07283484;0.13166298;mgN/L;TRUE;salinity range;NA;Rver2;seasonal
11783;BAL;CW;CW-BC1;SE;16;Orthophosphate;winter;5.885290147;9.29256339;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
11784;BAL;CW;CW-BC1;SE;17;Orthophosphate;winter;5.885290147;9.29256339;µgP/L;TRUE;salinity range;NA;Rver2;seasonal
