uniqueID;Source;Category;Country;physChemText;Measurement Type;Period;Method ;National type code;GM_Meth;c.a.;factor;ValueStd.old;ValueUpStd.old;unit_used;GIG
1;ECOSTAT questionnaries;TW;BE;TP;mean;Growth season (April -September);Inductively coupled plasma atomic emission spectroscopy;O1o;Exp Judg;TPµgl-1;1;140;;µgP/L;NEA
2;ECOSTAT questionnaries;TW;BE;TN;mean;Growth season (April -September);High temperature catalytic oxydation followed by chemoluminescent detection of NO2;O1o;Exp Judg;TNmgl-1;1;2.5;;mgN/L;NEA
3;ECOSTAT questionnaries;TW;BE;Nitrate as N;90th Percentile;Annual;absorption spectrophotometry;O1o;Exp Judg;Nitrate as Nmgl-1;1;5.65;;mgN/L;NEA
4;ECOSTAT questionnaries;TW;BE;Total Inorganic N;mean;Winter;sum of nitrate, nitrite and ammonium (each measured with absorption spectrophotometry);O1b;Exp Judg;Total Inorganic Nmgl-1;1;0.49;;mgN/L;NEA
5;ECOSTAT questionnaries;TW;BE;Total Inorganic N;mean;Winter;sum of nitrate, nitrite and ammonium (each measured with absorption spectrophotometry);O2zout;Exp Judg;Total Inorganic Nmgl-1;1;0.49;;mgN/L;NEA
6;WFD reporting;TW;BE;Dissolved oxygen;10th percentile;;;O1o_5;;Dissolved oxygenmgl-1;1;5;;mg/L;NEA
7;WFD reporting;TW;BE;Dissolved oxygen;10th percentile;;;O2zout;;Dissolved oxygenmgl-1;1;6;;mg/L;NEA
8;WFD reporting;TW;BE;Total Inorganic N;mean;Winter;;O2zout;;Total Inorganic Nmgl-1;1;0.49;;mgN/L;NEA
9;WFD reporting;TW;BE;TP;mean;summer;;O2zout;;TPµgl-1;1;140;;µgP/L;NEA
10;WFD reporting;TW;BE;TN;mean;summer;;O2zout;;TNmgl-1;1;2.5;;mgN/L;NEA
11;WFD reporting;CW;BE;Total Inorganic N;mean;Annual;;Type2;;Total Inorganic Nµmol-1;0.0140067;0.2101005;;mgN/L;NEA
12;WFD reporting;CW;BE;Dissolved oxygen;Minimum;Annual;;Type2;;Dissolved oxygenmgl-1;1;6;;mg/L;NEA
13;ECOSTAT questionnaries;TW;BG;TP;mean;Annual;Acid digestion and molybdate reaction, EN ISO 6878-1;L7 Black sea freshwater coastal lakes ;Exp Judg;TPµgl-1;1;75;;µgP/L;BLA
14;ECOSTAT questionnaries;TW;BG;TP;mean;Annual;Acid digestion and molybdate reaction, EN ISO 6878-1;L8 Black sea oligohaline lakes;Exp Judg;TPµgl-1;1;75;;µgP/L;BLA
15;ECOSTAT questionnaries;TW;BG;TN;mean;Annual;Sample filtration through 0.45 µm, IR spectroscopy , EN 12260;L7 Black sea freshwater coastal lakes ;Exp Judg;TNmgl-1;1;2.5;;mgN/L;BLA
16;ECOSTAT questionnaries;TW;BG;TN;mean;Annual;Sample filtration through 0.45 µm, IR spectroscopy , EN 12260;L8 Black sea oligohaline lakes;Exp Judg;TNmgl-1;1;2.5;;mgN/L;BLA
17;ECOSTAT questionnaries;TW;BG;Nitrate as N;mean;Annual;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, ion chromatography, ISO 10304-1,2;L7 Black sea freshwater coastal lakes ;Exp Judg;Nitrate as Nmgl-1;1;2;;mgN/L;BLA
18;ECOSTAT questionnaries;TW;BG;Nitrate as N;mean;Annual;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, ion chromatography, ISO 10304-1,2;L8 Black sea oligohaline lakes;Exp Judg;Nitrate as Nmgl-1;1;2;;mgN/L;BLA
19;WFD reporting;TW;BG;Dissolved oxygen;mean;Annual;;L10;;Dissolved oxygenmgl-1;1;6;;mg/L;BLA
20;WFD reporting;TW;BG;Dissolved oxygen;mean;Annual;;L7 Black sea freshwater coastal lakes ;;Dissolved oxygenmgl-1;1;6;;mg/L;BLA
21;WFD reporting;TW;BG;Dissolved oxygen;mean;Annual;;L8 Black sea oligohaline lakes;;Dissolved oxygenmgl-1;1;6;;mg/L;BLA
22;WFD reporting;TW;BG;Dissolved oxygen;mean;Annual;;L9;;Dissolved oxygenmgl-1;1;6;;mg/L;BLA
23;WFD reporting;TW;BG;Secchi disk depth;mean;Annual;;L10;;Secchi disk depthm;1;2;;m;BLA
24;WFD reporting;TW;BG;Secchi disk depth;mean;Annual;;L7 Black sea freshwater coastal lakes ;;Secchi disk depthm;1;2;;m;BLA
25;WFD reporting;TW;BG;Secchi disk depth;mean;Annual;;L8 Black sea oligohaline lakes;;Secchi disk depthm;1;2;;m;BLA
26;WFD reporting;TW;BG;Secchi disk depth;mean;Annual;;L9;;Secchi disk depthm;1;2;;m;BLA
27;WFD reporting;TW;BG;Nitrate as N;mean;Annual;;L10;;Nitrate as Nmgl-1;1;2;;mgN/L;BLA
28;WFD reporting;TW;BG;Nitrate as N;mean;Annual;;L7 Black sea freshwater coastal lakes ;;Nitrate as Nmgl-1;1;2;;mgN/L;BLA
29;WFD reporting;TW;BG;Nitrate as N;mean;Annual;;L8 Black sea oligohaline lakes;;Nitrate as Nmgl-1;1;2;;mgN/L;BLA
30;WFD reporting;TW;BG;Nitrate as N;mean;Annual;;L9;;Nitrate as Nmgl-1;1;2;;mgN/L;BLA
31;WFD reporting;TW;BG;TN;mean;Annual;;L10;;TNmgl-1;1;2.5;;mgN/L;BLA
32;WFD reporting;TW;BG;TN;mean;Annual;;L7 Black sea freshwater coastal lakes ;;TNmgl-1;1;2.5;;mgN/L;BLA
33;WFD reporting;TW;BG;TN;mean;Annual;;L8 Black sea oligohaline lakes;;TNmgl-1;1;2.5;;mgN/L;BLA
34;WFD reporting;TW;BG;TN;mean;Annual;;L9;;TNmgl-1;1;2.5;;mgN/L;BLA
35;WFD reporting;TW;BG;TP;mean;Annual;;L10;;TPµgl-1;1;75;;µgP/L;BLA
36;WFD reporting;TW;BG;TP;mean;Annual;;L7 Black sea freshwater coastal lakes ;;TPµgl-1;1;75;;µgP/L;BLA
37;WFD reporting;TW;BG;TP;mean;Annual;;L8 Black sea oligohaline lakes;;TPµgl-1;1;75;;µgP/L;BLA
38;WFD reporting;TW;BG;TP;;;;L9;;TPµgl-1;1;75;;µgP/L;BLA
39;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;December-March;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602210
(shallow, exposed, mixed substratum)";Exp Judg;Nitrate as Nmgl-1;1;0.135;;mgN/L;BLA
40;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;December-March;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602220
(shallow, exposed, silt)";Exp Judg;Nitrate as Nmgl-1;1;0.135;;mgN/L;BLA
41;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;December-March;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602230
(shallow, exposed, mixed substratum)";Exp Judg;Nitrate as Nmgl-1;1;0.135;;mgN/L;BLA
42;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;December-March;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602310 
(shallow, moderately exposed, mixed substratum)";Exp Judg;Nitrate as Nmgl-1;1;0.135;;mgN/L;BLA
43;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;December-March;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602321
(deep, moderately exposed, silt)";Exp Judg;Nitrate as Nmgl-1;1;0.135;;mgN/L;BLA
44;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;December-March;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602330 
(shallow, moderately exposed, mixed substratum)";Exp Judg;Nitrate as Nmgl-1;1;0.135;;mgN/L;BLA
45;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;March-June;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602210
(shallow, exposed, mixed substratum)";Exp Judg;Nitrate as Nmgl-1;1;0.075;;mgN/L;BLA
46;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;March-June;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602220
(shallow, exposed, silt)";Exp Judg;Nitrate as Nmgl-1;1;0.075;;mgN/L;BLA
47;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;March-June;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602230
(shallow, exposed, mixed substratum)";Exp Judg;Nitrate as Nmgl-1;1;0.075;;mgN/L;BLA
48;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;March-June;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602310 
(shallow, moderately exposed, mixed substratum)";Exp Judg;Nitrate as Nmgl-1;1;0.075;;mgN/L;BLA
49;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;March-June;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602321
(deep, moderately exposed, silt)";Exp Judg;Nitrate as Nmgl-1;1;0.075;;mgN/L;BLA
50;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;March-June;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602330 
(shallow, moderately exposed, mixed substratum)";Exp Judg;Nitrate as Nmgl-1;1;0.075;;mgN/L;BLA
51;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;June-September;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602210
(shallow, exposed, mixed substratum)";Exp Judg;Nitrate as Nmgl-1;1;0.04;;mgN/L;BLA
52;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;June-September;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602220
(shallow, exposed, silt)";Exp Judg;Nitrate as Nmgl-1;1;0.04;;mgN/L;BLA
53;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;June-September;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602230
(shallow, exposed, mixed substratum)";Exp Judg;Nitrate as Nmgl-1;1;0.04;;mgN/L;BLA
54;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;June-September;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602310 
(shallow, moderately exposed, mixed substratum)";Exp Judg;Nitrate as Nmgl-1;1;0.04;;mgN/L;BLA
55;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;June-September;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602321
(deep, moderately exposed, silt)";Exp Judg;Nitrate as Nmgl-1;1;0.04;;mgN/L;BLA
56;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;June-September;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602330 
(shallow, moderately exposed, mixed substratum)";Exp Judg;Nitrate as Nmgl-1;1;0.04;;mgN/L;BLA
57;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;September-December;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602210
(shallow, exposed, mixed substratum)";Exp Judg;Nitrate as Nmgl-1;1;0.08;;mgN/L;BLA
58;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;September-December;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602220
(shallow, exposed, silt)";Exp Judg;Nitrate as Nmgl-1;1;0.08;;mgN/L;BLA
59;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;September-December;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602230
(shallow, exposed, mixed substratum)";Exp Judg;Nitrate as Nmgl-1;1;0.08;;mgN/L;BLA
60;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;September-December;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602310 
(shallow, moderately exposed, mixed substratum)";Exp Judg;Nitrate as Nmgl-1;1;0.08;;mgN/L;BLA
61;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;September-December;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602321
(deep, moderately exposed, silt)";Exp Judg;Nitrate as Nmgl-1;1;0.08;;mgN/L;BLA
62;ECOSTAT questionnaries;CW;BG;Nitrate as N;maximum;September-December;Sample filtration through 0.45 µm, spectrophotometry,  colour compund with sulphosalicylic acid, ISO 7890-3, modified for sea water;"CW602330 
(shallow, moderately exposed, mixed substratum)";Exp Judg;Nitrate as Nmgl-1;1;0.08;;mgN/L;BLA
63;WFD reporting;CW;BG;Secchi disk depth;mean;Annual;;CW1N;;Secchi disk depthm;1;2.6;;m;BLA
64;WFD reporting;CW;BG;Secchi disk depth;mean;Annual;;CW2N;;Secchi disk depthm;1;2.6;;m;BLA
65;WFD reporting;CW;BG;Secchi disk depth;mean;Annual;;CW3;;Secchi disk depthm;1;2.6;;m;BLA
66;WFD reporting;CW;BG;Secchi disk depth;mean;Annual;;CW4N;;Secchi disk depthm;1;2.6;;m;BLA
67;WFD reporting;CW;BG;Secchi disk depth;mean;Annual;;CW5;;Secchi disk depthm;1;2.6;;m;BLA
68;WFD reporting;CW;BG;Secchi disk depth;mean;Annual;;CW6N;;Secchi disk depthm;1;2.6;;m;BLA
69;WFD reporting;CW;BG;Secchi disk depth;mean;Annual;;CW7;;Secchi disk depthm;1;2.6;;m;BLA
70;WFD reporting;CW;BG;Secchi disk depth;mean;Annual;;CW8;;Secchi disk depthm;1;2.6;;m;BLA
71;WFD reporting;CW;BG;Secchi disk depth;mean;Annual;;CW9;;Secchi disk depthm;1;2.6;;m;BLA
72;WFD reporting;CW;BG;Nitrate as N;mean;winter;;CW1N;;Nitrate as Nmgl-1;1;0.135;;mgN/L;BLA
73;WFD reporting;CW;BG;Nitrate as N;mean;spring;;CW1N;;Nitrate as Nmgl-1;1;0.075;;mgN/L;BLA
74;WFD reporting;CW;BG;Nitrate as N;mean;summer;;CW1N;;Nitrate as Nmgl-1;1;0.04;;mgN/L;BLA
75;WFD reporting;CW;BG;Nitrate as N;mean;autumn;;CW1N;;Nitrate as Nmgl-1;1;0.08;;mgN/L;BLA
76;WFD reporting;CW;BG;Nitrate as N;mean;winter;;CW2N;;Nitrate as Nmgl-1;1;0.135;;mgN/L;BLA
77;WFD reporting;CW;BG;Nitrate as N;mean;spring;;CW2N;;Nitrate as Nmgl-1;1;0.075;;mgN/L;BLA
78;WFD reporting;CW;BG;Nitrate as N;mean;summer;;CW2N;;Nitrate as Nmgl-1;1;0.04;;mgN/L;BLA
79;WFD reporting;CW;BG;Nitrate as N;mean;autumn;;CW2N;;Nitrate as Nmgl-1;1;0.08;;mgN/L;BLA
80;WFD reporting;CW;BG;Nitrate as N;mean;winter;;CW3;;Nitrate as Nmgl-1;1;0.135;;mgN/L;BLA
81;WFD reporting;CW;BG;Nitrate as N;mean;spring;;CW3;;Nitrate as Nmgl-1;1;0.075;;mgN/L;BLA
82;WFD reporting;CW;BG;Nitrate as N;mean;summer;;CW3;;Nitrate as Nmgl-1;1;0.04;;mgN/L;BLA
83;WFD reporting;CW;BG;Nitrate as N;mean;autumn;;CW3;;Nitrate as Nmgl-1;1;0.08;;mgN/L;BLA
84;WFD reporting;CW;BG;Nitrate as N;mean;winter;;CW4N;;Nitrate as Nmgl-1;1;0.135;;mgN/L;BLA
85;WFD reporting;CW;BG;Nitrate as N;mean;spring;;CW4N;;Nitrate as Nmgl-1;1;0.075;;mgN/L;BLA
86;WFD reporting;CW;BG;Nitrate as N;mean;summer;;CW4N;;Nitrate as Nmgl-1;1;0.04;;mgN/L;BLA
87;WFD reporting;CW;BG;Nitrate as N;mean;autumn;;CW4N;;Nitrate as Nmgl-1;1;0.08;;mgN/L;BLA
88;WFD reporting;CW;BG;Nitrate as N;mean;winter;;CW5;;Nitrate as Nmgl-1;1;0.135;;mgN/L;BLA
89;WFD reporting;CW;BG;Nitrate as N;mean;spring;;CW5;;Nitrate as Nmgl-1;1;0.075;;mgN/L;BLA
90;WFD reporting;CW;BG;Nitrate as N;mean;summer;;CW5;;Nitrate as Nmgl-1;1;0.04;;mgN/L;BLA
91;WFD reporting;CW;BG;Nitrate as N;mean;autumn;;CW5;;Nitrate as Nmgl-1;1;0.08;;mgN/L;BLA
92;WFD reporting;CW;BG;Nitrate as N;mean;winter;;CW6N;;Nitrate as Nmgl-1;1;0.135;;mgN/L;BLA
93;WFD reporting;CW;BG;Nitrate as N;mean;spring;;CW6N;;Nitrate as Nmgl-1;1;0.075;;mgN/L;BLA
