"","ICcode.TRAC","X","All.obs","GIG","MarineRegion","Cat","physChemCatCW","physChemCatTW","Country","RBD","NatType","physChemQECode","physChemQE","physChemText","Note1_PhysChemText","physChemGMBoundary","SumMetric","Note2_Season","ValueStd","ValueUpStd","UnitUsed","Note3_stdUnits","RangeRep","ReasonRange","SalinityRange","Salinity1","Salinity2","DepthZone","Ver","Ver.r","ICtypology","MetricType","ICType"
"1","CW-BC1",1052,11764,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"22",NA,NA,"TP",NA,NA,"summer","mean (JJA)",6.81422742,16.72583094,"µgP/L","We standardised your Value using a factor of 30.973761 to convert from units of   umol{P}/L",TRUE,"salinity range","3 - 0",3,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"2","CW-BC1",953,11665,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"23",NA,NA,"TN",NA,NA,"winter","mean (DJF)",0.29694204,0.32635611,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","3 - 0",3,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"3","CW-BC1",1077,11789,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"22",NA,NA,"Orthophosphate","Phosphate",NA,"winter","mean (DJF)",4.646281695,NA,"µgP/L","We standardised your Value using a factor of 30.97521132 to convert from units of   umol{PO4-P}/L",FALSE,NA,"0 - 3",0,3,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"4","CW-BC1",950,11662,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"20",NA,NA,"TN",NA,NA,"winter","mean (DJF)",0.30394539,0.31795209,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"5","CW-BC1",1027,11739,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"22",NA,NA,"TP",NA,NA,"winter","mean (DJF)",9.60186591,16.41609333,"µgP/L","We standardised your Value using a factor of 30.973761 to convert from units of   umol{P}/L",TRUE,"salinity range","3 - 0",3,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"6","CW-BC1",1028,11740,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"23",NA,NA,"TP",NA,NA,"winter","mean (DJF)",9.60186591,16.41609333,"µgP/L","We standardised your Value using a factor of 30.973761 to convert from units of   umol{P}/L",TRUE,"salinity range","3 - 0",3,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"7","CW-BC1",1078,11790,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"23",NA,NA,"Orthophosphate","Phosphate",NA,"winter","mean (DJF)",4.646281695,NA,"µgP/L","We standardised your Value using a factor of 30.97521132 to convert from units of   umol{PO4-P}/L",FALSE,NA,"0 - 3",0,3,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"8","CW-BC1",1053,11765,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"23",NA,NA,"TP",NA,NA,"summer","mean (JJA)",6.81422742,16.72583094,"µgP/L","We standardised your Value using a factor of 30.973761 to convert from units of   umol{P}/L",TRUE,"salinity range","3 - 0",3,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"9","CW-BC1",951,11663,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"21",NA,NA,"TN",NA,NA,"winter","mean (DJF)",0.30394539,0.31795209,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"10","CW-BC1",952,11664,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"22",NA,NA,"TN",NA,NA,"winter","mean (DJF)",0.29694204,0.32635611,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","3 - 0",3,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"11","CW-BC1",1046,11758,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"16",NA,NA,"TP",NA,NA,"summer","mean (JJA)",10.84081635,16.72583094,"µgP/L","We standardised your Value using a factor of 30.973761 to convert from units of   umol{P}/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"12","CW-BC1",1003,11715,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"23",NA,NA,"Total Inorganic N","DIN",NA,"winter","mean (DJF)",0.07283484,0.13166298,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","3 - 0",3,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"13","CW-BC1",1048,11760,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"18",NA,NA,"TP",NA,NA,"summer","mean (JJA)",10.22134113,11.15055396,"µgP/L","We standardised your Value using a factor of 30.973761 to convert from units of   umol{P}/L",TRUE,"salinity range","0 - 5",0,5,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"14","CW-BC1",1049,11761,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"19",NA,NA,"TP",NA,NA,"summer","mean (JJA)",10.22134113,11.15055396,"µgP/L","We standardised your Value using a factor of 30.973761 to convert from units of   umol{P}/L",TRUE,"salinity range","0 - 5",0,5,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
