"","All.obs","GIG","MarineRegion","Cat","physChemCatCW","physChemCatTW","ICcode.TRAC","ICcodeTW","ICtypeTW","ICcodeCW","ICtypeCW","Country","RBD","NatType","physChemQECode","physChemQE","physChemText","Note1_PhysChemText","physChemGMBoundary","SumMetric","Note2_Season","ValueStd","ValueUpStd","UnitUsed","Note3_stdUnits","RangeRep","ReasonRange","SalinityRange","Salinity1","Salinity2","DepthZone","Comment","cfMS","Ver","Ver.r"
"1",4710,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ps","FIVHA4",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",2.4,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf","ICcode CW-BC1-B, but hydrographic conditions in Ps differ from Pu",NA,"Ver7e_revised","ver3 final"
"2",4711,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Pu","FIVHA4",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",3.3,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-B",NA,"Ver7e_revised","ver3 final"
"3",4760,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ps","FIVHA4",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.34,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-B, but hydrographic conditions in Ps differ from Pu",NA,"Ver7e_revised","ver3 final"
"4",4761,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Pu","FIVHA4",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.315,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-B",NA,"Ver7e_revised","ver3 final"
"5",4802,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ps","FIVHA4",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",14,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-B, but hydrographic conditions in Ps differ from Pu",NA,"Ver7e_revised","ver3 final"
"6",4803,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Pu","FIVHA4",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",11,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-B",NA,"Ver7e_revised","ver3 final"
"7",4804,"BAL","Baltic Sea","CW","YES","NO","inapplicable",NA,NA,"inapplicable","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ls","FIVHA2",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",3.6,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf",NA,NA,"Ver7e_revised","ver3 final"
"8",4805,"BAL","Baltic Sea","CW","YES","NO","CW-BC9",NA,NA,"CW-BC9","CW-BC9 - Baltic Sea, surface water salinity 3-6 psu, bottom water salinity 3-6 psu, Moderately Exposed to exposed, 90-150 ice days","FI","Lu","FIVHA2",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",5.8,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf",NA,NA,"Ver7e_revised","ver3 final"
"9",4806,"BAL","Baltic Sea","CW","YES","NO","CW-BC3",NA,NA,"CW-BC3","CW-BC3 - Baltic Sea, surface water salinity 3-6 psu, bottom water salinity 3-6 psu, Sheltered, 90-150 ice days","FI","Ss","FIVHA2",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",3.5,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf","Hydrographic conditions in Ss differ from Su",NA,"Ver7e_revised","ver3 final"
"10",4807,"BAL","Baltic Sea","CW","YES","NO","CW-BC3",NA,NA,"CW-BC3","CW-BC3 - Baltic Sea, surface water salinity 3-6 psu, bottom water salinity 3-6 psu, Sheltered, 90-150 ice days","FI","Su","FIVHA2",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",4.4,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf",NA,NA,"Ver7e_revised","ver3 final"
