"","ICcode.TRAC","X","All.obs","GIG","MarineRegion","Cat","physChemCatCW","physChemCatTW","Country","RBD","NatType","physChemQECode","physChemQE","physChemText","Note1_PhysChemText","physChemGMBoundary","SumMetric","Note2_Season","ValueStd","ValueUpStd","UnitUsed","Note3_stdUnits","RangeRep","ReasonRange","SalinityRange","Salinity1","Salinity2","DepthZone","Ver","Ver.r","ICtypology","MetricType","ICType"
"1","inapplicable",755,11467,"NEA","Greater North Sea","TW","NO","YES","DE","all RBD","T1",NA,NA,"TN",NA,"Yes","AA-EQS",NA,1,NA,"mgN/L",NA,FALSE,NA,NA,NA,NA,NA,"Ver7e_revised","ver3","no match","central tendency annual","inapplicable"
"2","inapplicable",385,9372,"MED","Western Mediterranean Sea","TW","NO","YES","FR","T10","FRD",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","90th percentile",NA,92.921,NA,"ÂµgP/L","We standardised your Value using a factor of 30.973761 to convert from units of   umol/L",FALSE,NA,NA,NA,NA,NA,"Ver7e_revised","ver3","no match","quantile annual","inapplicable"
"3","inapplicable",394,9411,"NEA","Greater North Sea","TW","NO","YES","FR","All","FRH",6,"QE3-1-3-2 - Dissolved oxygen (mg/l)","Dissolved oxygen",NA,"Yes","10th percentile",NA,3,NA,"mg/L",NA,FALSE,NA,NA,NA,NA,NA,"Ver7e_revised","ver3","no match","quantile annual","inapplicable"
"4","inapplicable",389,9376,"MED","Western Mediterranean Sea","TW","NO","YES","FR","T10","FRD",21,"QE3-1-6-2-1 - Orthophosphate","Orthophosphate",NA,"Yes","90th percentile",NA,30.975,NA,"ÂµgP/L","We standardised your Value using a factor of 30.97521132 to convert from units of   umol/L",FALSE,NA,NA,NA,NA,NA,"Ver7e_revised","ver3","no match","quantile annual","inapplicable"
"5","inapplicable",398,9470,"NEA","Greater North Sea","TW","NO","YES","FR","All","FRF",6,"QE3-1-3-2 - Dissolved oxygen (mg/l)","Dissolved oxygen",NA,"Yes","10th percentile",NA,3,NA,"mg/L",NA,FALSE,NA,NA,NA,NA,NA,"Ver7e_revised","ver3","no match","quantile annual","inapplicable"
"6","inapplicable",763,11475,"NEA","Bay of Biscay and Iberian coast","TW","NO","YES","ES","AT-T12","ALL",NA,NA,"Nitrate as N",NA,NA,"AA-EQS",NA,2.485,NA,"mgN/L",NA,FALSE,NA,NA,NA,NA,NA,"Ver7e_revised","ver3","no match","central tendency annual","inapplicable"
"7","inapplicable",400,9491,"MED","Western Mediterranean Sea","TW","NO","YES","FR","T10","FRE",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","90th percentile","monthly summer (June-August) data (over 6 years)",1.051,NA,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   umol/L",FALSE,NA,NA,NA,NA,NA,"Ver7e_revised_April 2021","ver3","no match","quantile seasonal","inapplicable"
"8","inapplicable",402,9496,"MED","Western Mediterranean Sea","TW","NO","YES","FR","T10","FRE",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","90th percentile",NA,92.921,NA,"ÂµgP/L","We standardised your Value using a factor of 30.973761 to convert from units of   umol/L",FALSE,NA,NA,NA,NA,NA,"Ver7e_revised","ver3","no match","quantile annual","inapplicable"
"9","inapplicable",767,11479,"NEA","Bay of Biscay and Iberian coast","TW","NO","YES","ES","AT-T13","ALL",NA,NA,"Nitrate as N",NA,NA,"AA-EQS",NA,1.676,NA,"mgN/L",NA,FALSE,NA,NA,NA,NA,NA,"Ver7e_revised","ver3","no match","central tendency annual","inapplicable"
"10","inapplicable",404,9498,"MED","Western Mediterranean Sea","TW","NO","YES","FR","T10","FRE",21,"QE3-1-6-4  NID","Total Inorganic N",NA,"Yes","90th percentile",NA,0.084,NA,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   umol/L",FALSE,NA,NA,NA,NA,NA,"Ver7e_revised","ver3","no match","quantile annual","inapplicable"
"11","inapplicable",757,11469,"NEA","Greater North Sea","TW","NO","YES","DE","all RBD","T1",NA,NA,"Total Inorganic N","DIN","Yes","winter","WinterA-EQS =mean of winter monitoring values in the periode from 1.11. to 28.2.",0.8,NA,"mgN/L",NA,FALSE,NA,NA,NA,NA,NA,"Ver7e_revised","ver3","no match","central tendency seasonal","inapplicable"
"12","inapplicable",771,11483,"MED","Western Mediterranean Sea","TW","NO","YES","ES","AT-T15","ALL",NA,NA,"TN",NA,NA,"AA-EQS",NA,10,NA,"mgN/L",NA,FALSE,NA,NA,NA,NA,NA,"Ver7e_revised","ver3","no match","central tendency annual","inapplicable"
"13","inapplicable",373,9036,"BAL","Baltic Sea","TW","NO","YES","LV","T1","LVLUBA",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer",NA,3,NA,"m",NA,FALSE,NA,NA,NA,NA,NA,"Ver7e_revised","ver3","no match","central tendency seasonal","inapplicable"
"14","inapplicable",377,9040,"BAL","Baltic Sea","TW","NO","YES","LV","T1","LVLUBA",18,"QE3-1-6-2-1 - Orthophosphate","Orthophosphate",NA,"Yes","winter",NA,27.878,NA,"ÂµgP/L","We standardised your Value using a factor of 30.97521132 to convert from units of   umol/L",FALSE,NA,NA,NA,NA,NA,"Ver7e_revised","ver3","no match","central tendency seasonal","inapplicable"
"15","inapplicable",795,11507,"BAL","Baltic Sea","TW","NO","YES","LT","LT1100","TWT3",NA,NA,"TN","QE3-1-6-1-5 ",NA,"summer","Summer mean (June-September)",0.67,NA,"mgN/L",NA,FALSE,NA,"2 - 4.0",2,4,"Surf","Ver7e_revised_April 2021","ver3","no match","central tendency seasonal","inapplicable"
"16","inapplicable",798,11510,"BAL","Baltic Sea","TW","NO","YES","LT","LT1100","TWT1",NA,NA,"TN","QE3-1-6-1-5 ",NA,"summer","Summer mean (June-September)",0.67,NA,"mgN/L",NA,FALSE,NA,"2 - 4.0",2,4,"Surf","Ver7e_revised_April 2021","ver3","no match","central tendency seasonal","inapplicable"
"17","inapplicable",799,11511,"BAL","Baltic Sea","TW","NO","YES","LT","LT1100","TWT1",NA,NA,"TN","QE3-1-6-1-5 ",NA,"summer","Summer mean (June-September)",0.25,NA,"mgN/L",NA,FALSE,NA,"> 4",4.5,NA,"Surf","Ver7e_revised_April 2021","ver3","no match","central tendency seasonal","inapplicable"
"18","inapplicable",72,5797,"BLA","Black Sea","TW","NO","YES","RO","ROTT02","RO1000",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth","Please select reason for range in column ReasonRange","Yes","AA-EQS",NA,0.5,1,"m",NA,TRUE,"subType",NA,NA,NA,NA,"Ver7e_revised","ver3","no match","central tendency annual","inapplicable"
"19","inapplicable",73,5800,"BLA","Black Sea","TW","NO","YES","RO","ROTT02","RO1000",6,"QE3-1-3-2 - Dissolved oxygen (mg/l)","Dissolved oxygen","Please select reason for range in column ReasonRange","Yes","AA-EQS",NA,6.2,9,"mg/L",NA,TRUE,"High low",NA,NA,NA,NA,"Ver7e_revised","ver3","no match","central tendency annual","inapplicable"
"20","inapplicable",74,5802,"BLA","Black Sea","TW","NO","YES","RO","ROTT02","RO1000",13,"QE3-1-6-1-1 - Nitrate","Nitrate as N",NA,"Yes","AA-EQS",NA,0.339,NA,"mgN/L","We standardised your Value using a factor of 0.225806452 to convert from units of   mg{NO3}/L",FALSE,NA,NA,NA,NA,NA,"Ver7e_revised","ver3","no match","central tendency annual","inapplicable"
"21","inapplicable",75,5805,"BLA","Black Sea","TW","NO","YES","RO","ROTT03","RO1000",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth","Please select reason for range in column ReasonRange","Yes","AA-EQS",NA,2.3,3,"m",NA,TRUE,"subType",NA,NA,NA,NA,"Ver7e_revised","ver3","no match","central tendency annual","inapplicable"
