"All.obs","uniqueID","TypeCode","Country","RBD","physChemQECode","physChemQE","physChemCategoryRW","physChemCategoryLW","physChemValue","StandardValue","UnitOfMeasure","physChemStandard2","physChemGMBoundary","surfaceWaterBodyIntercalibrationTypeCode","surfaceWaterBodyIntercalibrationType","Type","Value","ValueUp","physChemText","Factor","UnitUsed","ValueStd","ValueUpStd","physChemCategoryCW","ICcodeCW","ICtypeCW","MarineRegion","GIG","physChemCategoryTW","ICcodeTW","ICtypeTW","Ver"
1,554,"R5|NL33DA","NL","NLEM",3,"QE3-1-2-1 - Water temperature (Celsius)","Yes","No","<= 25","25","Cel","MAC-EQS","Yes","","","R5","25",NA,"Temperature",1,"Cel",25,NA,"No","","","","","No","","","Ver7e"
2,555,"R5|NL33DA","NL","NLEM",5,"QE3-1-3-1 - Oxygen saturation (%)","Yes","No",">= 70 | <= 120","70-120","%{oxygenSaturation}","AA-EQS","Yes","","","R5","70","120","% oxygen saturation",1,"PC02",70,120,"No","","","","","No","","","Ver7e"
3,556,"R5|NL33DA","NL","NLEM",11,"QE3-1-5-2 - pH","Yes","No",">= 5.5 | <= 8.5","5.5-8.5","[pH]","MAC-EQS","Yes","","","R5","5.5","8.5","pH",1,"pH",5.5,8.5,"No","","","","","No","","","Ver7e"
4,557,"R5|NL33DA","NL","NLEM",9,"QE3-1-4-2 CAS_16887-00-6 Chloride","Yes","No","<= 30","30","mg/L","AA-EQS","Yes","","","R5","30",NA,"Chloride",1,"mg/L",30,NA,"No","","","","","No","","","Ver7e"
5,558,"R5|NL33DA","NL","NLEM",19,"QE3-1-6-2-2 - Total Phosphorous","Yes","No","<= 0.1","0.1","mg{P}/L","AA-EQS","Yes","","","R5","0.1",NA,"TP",1000,"ugP/L",100,NA,"No","","","","","No","","","Ver7e"
6,559,"R5|NL33DA","NL","NLEM",17,"QE3-1-6-1-5 - Total Nitrogen","Yes","No","<= 2.2","2.2","mg{N}/L","AA-EQS","Yes","","","R5","2.2",NA,"TN",1,"mgN/L",2.2,NA,"No","","","","","No","","","Ver7e"
7,560,"M6a|NL33DW_2","NL","NLEM",1,"QE3-1-1-1 - Secchi disk depth","No","Yes",">= 0.4","0.4","m","AA-EQS","Yes","","","M6A","0.4",NA,"Secchi disk depth",1,"m",0.4,NA,"No","","","","","No","","","Ver7e"
8,561,"M6a|NL33DW_2","NL","NLEM",3,"QE3-1-2-1 - Water temperature (Celsius)","No","Yes","<= 25","25","Cel","MAC-EQS","Yes","","","M6A","25",NA,"Temperature",1,"Cel",25,NA,"No","","","","","No","","","Ver7e"
9,562,"M6a|NL33DW_2","NL","NLEM",5,"QE3-1-3-1 - Oxygen saturation (%)","No","Yes",">= 60 | <= 120","60-120","%{oxygenSaturation}","AA-EQS","Yes","","","M6A","60","120","% oxygen saturation",1,"PC02",60,120,"No","","","","","No","","","Ver7e"
10,563,"M6a|NL33DW_2","NL","NLEM",11,"QE3-1-5-2 - pH","No","Yes",">= 5.5 | <= 8.5","5.5-8.5","[pH]","MAC-EQS","Yes","","","M6A","5.5","8.5","pH",1,"pH",5.5,8.5,"No","","","","","No","","","Ver7e"
